time[s],SAS[V],FWM[V]
-1.275390624373,-0.000955151,0.00386633
-1.274739582706,-0.000942588,0.00386633
-1.274088541039,-0.0010054,0.00399196
-1.273437499372,-0.000980276,0.00399196
-1.2727864577049999,-0.0010054,0.00399196
-1.2721354160379998,-0.000942588,0.00411759
-1.271484374371,-0.0010054,0.00411759
-1.270833332704,-0.000955151,0.00424322
-1.270182291037,-0.000967714,0.00424322
-1.26953124937,-0.000955151,0.00424322
-1.268880207703,-0.000955151,0.00424322
-1.2682291660359999,-0.000942588,0.00436884
-1.2675781243689999,-0.00101796,0.00449447
-1.2669270827019998,-0.00103053,0.00436884
-1.266276041035,-0.000967714,0.00449447
-1.265624999368,-0.000992839,0.0046201
-1.264973957701,-0.00101796,0.0046201
-1.264322916034,-0.000980276,0.0046201
-1.263671874367,-0.000967714,0.00474573
-1.2630208326999999,-0.000992839,0.00474573
-1.2623697910329998,-0.000967714,0.00487136
-1.261718749366,-0.000980276,0.00487136
-1.261067707699,-0.000992839,0.00487136
-1.260416666032,-0.000967714,0.00499698
-1.259765624365,-0.000967714,0.00499698
-1.259114582698,-0.000930025,0.00512261
-1.2584635410309999,-0.000992839,0.00512261
-1.2578124993639999,-0.000930025,0.00524824
-1.2571614576969998,-0.000980276,0.00524824
-1.25651041603,-0.0010054,0.00524824
-1.255859374363,-0.000967714,0.00537387
-1.255208332696,-0.000967714,0.00537387
-1.254557291029,-0.000967714,0.00537387
-1.253906249362,-0.000967714,0.0054995
-1.2532552076949999,-0.000967714,0.0054995
-1.2526041660279998,-0.00101796,0.00562513
-1.251953124361,-0.000967714,0.00562513
-1.251302082694,-0.000955151,0.00562513
-1.250651041027,-0.0010054,0.00575075
-1.24999999936,-0.00103053,0.00575075
-1.249348957693,-0.000967714,0.00587638
-1.2486979160259999,-0.00101796,0.00587638
-1.2480468743589999,-0.000992839,0.00587638
-1.2473958326919998,-0.00101796,0.00600201
-1.246744791025,-0.00101796,0.00612764
-1.246093749358,-0.000980276,0.00612764
-1.245442707691,-0.000992839,0.00612764
-1.244791666024,-0.000992839,0.00625327
-1.244140624357,-0.0010054,0.00625327
-1.2434895826899999,-0.0010054,0.00637889
-1.2428385410229998,-0.000992839,0.00637889
-1.242187499356,-0.00104309,0.00637889
-1.241536457689,-0.000955151,0.00650452
-1.240885416022,-0.0010054,0.00650452
-1.240234374355,-0.00105565,0.00663015
-1.239583332688,-0.00101796,0.00675578
-1.2389322910209999,-0.000980276,0.00675578
-1.2382812493539999,-0.000980276,0.00675578
-1.2376302076869998,-0.00101796,0.00688141
-1.23697916602,-0.00101796,0.00688141
-1.236328124353,-0.000992839,0.00700703
-1.235677082686,-0.000992839,0.00700703
-1.235026041019,-0.000992839,0.00713266
-1.234374999352,-0.000992839,0.00713266
-1.2337239576849999,-0.00101796,0.00713266
-1.2330729160179998,-0.000992839,0.00725829
-1.232421874351,-0.000992839,0.00725829
-1.231770832684,-0.00103053,0.00738392
-1.231119791017,-0.000992839,0.00738392
-1.23046874935,-0.0010054,0.00738392
-1.229817707683,-0.00103053,0.00750955
-1.2291666660159999,-0.00104309,0.00750955
-1.2285156243489999,-0.000980276,0.00763518
-1.2278645826819998,-0.00101796,0.00763518
-1.227213541015,-0.00101796,0.0077608
-1.226562499348,-0.000992839,0.0077608
-1.225911457681,-0.00101796,0.00788643
-1.225260416014,-0.00103053,0.00788643
-1.224609374347,-0.000992839,0.00801206
-1.2239583326799999,-0.000980276,0.00801206
-1.2233072910129998,-0.00104309,0.00801206
-1.222656249346,-0.00103053,0.00813769
